[2025-08-21 20:00:01] Column0=0 | Column1=2025-08-21T00:48:31 | Column2=2025-08-20T19:05:00
[2025-08-21 21:00:01] Column0=0 | Column1=2025-08-21T00:48:31 | Column2=2025-08-20T19:05:00
[2025-08-21 22:00:01] Column0=0 | Column1=2025-08-21T00:48:31 | Column2=2025-08-20T19:05:00
[2025-08-21 23:00:01] Column0=0 | Column1=2025-08-21T00:48:31 | Column2=2025-08-20T19:05:00
[2025-08-22 00:00:01] Column0=0 | Column1=2025-08-21T00:48:31 | Column2=2025-08-20T19:05:00
[2025-08-22 01:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 02:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 03:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 04:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 05:00:02] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 06:00:02] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 07:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 08:00:02] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 09:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 10:00:02] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 11:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 12:00:02] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 13:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 14:00:02] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 15:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 16:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 17:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 18:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 19:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 20:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 21:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 22:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-22 23:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-23 00:00:01] Column0=0 | Column1=2025-08-22T00:47:37 | Column2=2025-08-21T19:05:00
[2025-08-23 01:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 02:00:02] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 03:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 04:00:02] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 05:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 06:00:02] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 07:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 08:00:02] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 09:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 10:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 11:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 12:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 13:00:02] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 14:00:02] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 15:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 16:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 17:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 18:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 19:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 20:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 21:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 22:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-23 23:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-24 00:00:01] Column0=0 | Column1=2025-08-23T00:45:35 | Column2=2025-08-22T19:05:00
[2025-08-24 01:00:01] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 02:00:01] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 03:00:01] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 04:00:01] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 05:00:02] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 06:00:02] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 07:00:02] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 08:00:02] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 09:00:01] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 10:00:02] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 11:00:01] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 12:00:01] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 13:00:01] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
